Race,Year,Income
Black ,2010,38433
Asian ,2010,49118
Hispanic ,2010,33530
White ,2010,47932
Black ,2011,38640
Asian ,2011,47153
Hispanic ,2011,33472
White ,2011,46523
Black ,2012,38272
Asian ,2012,51489
Hispanic ,2012,32104
White ,2012,46209
Black ,2013,37941
Asian ,2013,47119
Hispanic ,2013,33622
White ,2013,46076
Black ,2013,36121
Asian ,2013,50463
Hispanic ,2013,34128
White ,2013,45895
Black ,2014,36700
Asian ,2014,50711
Hispanic ,2014,33154
White ,2014,45772
Black ,2015,39555
Asian ,2015,52958
Hispanic ,2015,33989
White ,2015,47050
Black ,2016,39077
Asian ,2016,54597
Hispanic ,2016,34002
White ,2016,49339
Black ,2017,39075
Asian ,2017,54873
Hispanic ,2017,33953
White ,2017,50143
Black ,2018,39209
Asian ,2018,57282
Hispanic ,2018,34574
White ,2018,49882
Black ,2019,41611
Asian ,2019,57516
Hispanic ,2019,36561
White ,2019,51964
Black ,2020,43209
Asian ,2020,68442
Hispanic ,2020,38718
White ,2020,53731
